nome jogador,clube,foto_jogador
Germán Cano,Fluminense,https://www.zerozero.pt/img/jogadores/new/68/01/1256801_german_cano_20250305174045.png
Paulinho,Atletico-MG,https://www.zerozero.pt/img/jogadores/66/450166_20230522172156_paulinho.png
Hulk,Atletico-MG,https://www.zerozero.pt/img/jogadores/new/56/96/5696_hulk_20250302210554.jpg
Claudinho,Bragantino,https://www.zerozero.pt/img/jogadores/70/477570_20210920164500_claudinho__1632152700.png
Luciano da Rocha Neves,Sao Paulo,https://www.zerozero.pt/img/jogadores/new/48/20/254820_luciano_20250214105153.png
Gabriel Barbosa,Flamengo,https://www.zerozero.pt/img/jogadores/new/51/71/75171_gabriel_barbosa_20250330021018.png
Gabriel Barbosa,Santos,https://www.zerozero.pt/img/jogadores/new/51/71/75171_gabriel_barbosa_20250330021018.png
Henrique Dourado,Fluminense,https://www.zerozero.pt/img/jogadores/new/48/85/214885_henrique_dourado_20240718135841.png
Jô,Corinthians,https://www.zerozero.pt/img/jogadores/new/51/71/5171_jo__20240614173858.png
Diego Souza,Sport,https://www.zerozero.pt/img/jogadores/55/5255_20230817141016_diego_souza.jpg
William Pottker,Ponte Preta,https://www.zerozero.pt/img/jogadores/new/51/97/215197_william_pottker_20250128220048.jpg
Ricardo Oliveira,Santos,https://www.zerozero.pt/img/jogadores/98/1098_20230824211640_ricardo_oliveira_1692908200.png
Fred,Fluminense,https://www.zerozero.pt/img/jogadores/39/9839_20231225165732_fred.png
Luis Alberto Suárez,Gremio,https://www.zerozero.pt/img/jogadores/new/28/80/32880_luis_suarez_20250220101041.png
Tiquinho Soares,Botafogo-RJ,https://www.zerozero.pt/img/jogadores/new/76/70/137670_tiquinho_soares_20250125012202.jpg
Marcos Leonardo,Santos,https://www.zerozero.pt/img/jogadores/new/01/17/570117_marcos_leonardo_20250121174933.png
Pedro,Flamengo,https://www.zerozero.pt/img/jogadores/new/13/59/481359_pedro_20250123181931.png
Deyverson,Cuiaba,https://www.zerozero.pt/img/jogadores/new/37/46/283746_deyverson_20250228185658.png
Vitor Roque,Athletico-PR,https://www.zerozero.pt/img/jogadores/new/64/02/836402_vitor_roque_20250107170005.png
Robson Fernandes,Coritiba,https://www.zerozero.pt/img/jogadores/new/19/33/131933_robson_20250124133525.png
Eduardo Sasha,Bragantino,https://www.zerozero.pt/img/jogadores/new/41/10/134110_eduardo_sasha_20240805200400.png
Endrick,Palmeiras,https://www.zerozero.pt/img/jogadores/new/93/33/829333_endrick_20240809095446.png
Gonzalo Mastriani,America-MG,https://www.zerozero.pt/img/jogadores/new/15/34/221534_gonzalo_mastriani_20250331174557.png
Pablo Vegetti,Vasco,https://www.zerozero.pt/img/jogadores/new/46/38/364638_pablo_vegetti_20250314155510.png
Enner Valencia,Internacional,https://www.zerozero.pt/img/jogadores/new/16/28/1131628_enner_valencia_20240517092210.jpg
Walter Kannemann,Gremio,https://www.zerozero.pt/img/jogadores/new/48/52/1274852_walter_kannemann_20250415091459.jpg
Gabriel Mercado,Internacional,https://www.zerozero.pt/img/jogadores/new/74/31/37431_gabriel_mercado_20250126165214.png
Rodrigo Fernández,Santos,https://www.zerozero.pt/img/jogadores/71/526371_20230114130126_rodrigo_fernandez.png
Mauricio Lemos,Atletico-MG,https://www.zerozero.pt/img/jogadores/new/04/82/390482_mauricio_lemos_20250115151124.png
Pedro Raúl,Goias,https://www.zerozero.pt/img/jogadores/new/18/16/551816_pedro_raul_20240206101244.png
Jonathan Calleri,Sao Paulo,https://www.zerozero.pt/img/jogadores/48/366648_20210924163517_jonathan_calleri.png
