nome_clube,link_escudo
America-MG,https://upload.wikimedia.org/wikipedia/commons/7/7e/Escudo_Am%C3%A9rica_de_Minas.png
America-RN,https://upload.wikimedia.org/wikipedia/commons/6/61/Am%C3%A9rica_Futebol_Clube_%28Natal%29_logo_%282023%29.png
Athletico-PR,https://upload.wikimedia.org/wikipedia/commons/4/43/Athletico_Paranaense_%28Logo_2019%29.svg
Atletico-GO,https://upload.wikimedia.org/wikipedia/commons/3/3e/Atl%C3%A9tico_Goianiense.svg
Atletico-MG,https://upload.wikimedia.org/wikipedia/commons/5/5f/Atletico_mineiro_galo.png
Avai,https://upload.wikimedia.org/wikipedia/commons/f/fe/Avai_FC_%2805-E%29_-_SC.svg
Bahia,https://upload.wikimedia.org/wikipedia/pt/9/90/ECBahia.png
Barueri,https://upload.wikimedia.org/wikipedia/pt/a/af/Gr%C3%AAmio_Barueri.png
Botafogo-RJ,https://upload.wikimedia.org/wikipedia/commons/5/52/Botafogo_de_Futebol_e_Regatas_logo.svg
Bragantino,https://upload.wikimedia.org/wikipedia/pt/9/9e/RedBullBragantino.png
Brasiliense,https://upload.wikimedia.org/wikipedia/pt/3/3a/Brasiliense_Futebol_Clube.png
CSA,https://upload.wikimedia.org/wikipedia/pt/b/b2/CSAal.png
Ceara,https://upload.wikimedia.org/wikipedia/commons/3/38/Cear%C3%A1_Sporting_Club_logo.svg
Chapecoense,https://upload.wikimedia.org/wikipedia/pt/e/e4/Novo_escudo_da_Associa%C3%A7%C3%A3o_Chapecoense_de_Futebol.png
Corinthians,https://upload.wikimedia.org/wikipedia/commons/c/c9/Escudo_sc_corinthians.png
Coritiba,https://upload.wikimedia.org/wikipedia/commons/3/38/Coritiba_FBC_%282011%29_-_PR.svg
Criciuma,https://upload.wikimedia.org/wikipedia/commons/6/6a/EscudoCriciumaEC.svg
Cruzeiro,https://upload.wikimedia.org/wikipedia/commons/9/90/Cruzeiro_Esporte_Clube_%28logo%29.svg
Cuiaba,https://upload.wikimedia.org/wikipedia/pt/2/20/Cuiab%C3%A1EC2020.png
Figueirense,https://upload.wikimedia.org/wikipedia/pt/7/7b/Figueirense.png
Flamengo,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flamengo_braz_logo.svg
Fluminense,https://upload.wikimedia.org/wikipedia/commons/1/1d/FFC_crest.svg
Fortaleza,https://upload.wikimedia.org/wikipedia/commons/e/e9/Fortaleza_EC_2018.png
Goias,https://upload.wikimedia.org/wikipedia/commons/f/ff/Goi%C3%A1sLogo21.png
Gremio,https://upload.wikimedia.org/wikipedia/commons/0/08/Gremio_logo.svg
Gremio Prudente,https://upload.wikimedia.org/wikipedia/pt/4/41/Gr%C3%AAmio_Prudente2019.png
Guarani,https://upload.wikimedia.org/wikipedia/commons/f/f7/Guarani_FC_%28E%29_-_SP.svg
Internacional,https://upload.wikimedia.org/wikipedia/commons/a/ae/SC_Internacional_Brazil_Logo.svg
Ipatinga,https://upload.wikimedia.org/wikipedia/pt/9/95/IpatingaFC.png
Joinville,https://upload.wikimedia.org/wikipedia/pt/3/31/Joinville-SC.png
Juventude,https://upload.wikimedia.org/wikipedia/commons/5/51/EC_Juventude.svg
Nautico,https://upload.wikimedia.org/wikipedia/pt/d/de/Simbolo-escudo-nautico.png
Palmeiras,https://upload.wikimedia.org/wikipedia/commons/1/10/Palmeiras_logo.svg
Parana,https://upload.wikimedia.org/wikipedia/pt/0/07/Parana_Clube.png
Paysandu,https://upload.wikimedia.org/wikipedia/pt/2/2f/PaysanduSC.png
Ponte Preta,https://upload.wikimedia.org/wikipedia/commons/7/7e/Escudo_Oficial_Ponte_Preta.png
Portuguesa,https://upload.wikimedia.org/wikipedia/commons/d/db/Portuguesa_de_Desportos.png
Santa Cruz,https://upload.wikimedia.org/wikipedia/commons/7/71/Santa_Cruz_FC_%2801%29_-_PE.svg
Santo Andre,https://upload.wikimedia.org/wikipedia/pt/5/50/Santo_Andre_escudo.png
Santos,https://upload.wikimedia.org/wikipedia/commons/1/15/Santos_Logo.png
Sao Caetano,https://upload.wikimedia.org/wikipedia/pt/a/a8/Associa%C3%A7%C3%A3o_Desportiva_S%C3%A3o_Caetano.png
Sao Paulo,https://upload.wikimedia.org/wikipedia/commons/5/53/S%C3%A3o_Paulo_Futebol_Clube_logo.svg
Sport,https://upload.wikimedia.org/wikipedia/pt/1/17/Sport_Club_do_Recife.png
Vasco,https://upload.wikimedia.org/wikipedia/pt/a/ac/CRVascodaGama.png
Vitoria,https://upload.wikimedia.org/wikipedia/pt/3/34/Esporte_Clube_Vit%C3%B3ria_logo.png
